tweet_id,curtidas,retweets,data
822975315408461824,18494,3791,2017-01-22 01:12:59
822872901745569793,141696,48297,2017-01-21 18:26:02
822859134160621569,14136,2506,2017-01-21 17:31:20
822647212903690241,0,7061,2017-01-21 03:29:14
822610361945911296,15808,3260,2017-01-21 01:02:48
822489057087389700,19428,7061,2017-01-20 17:00:46
822462944365645825,30536,16169,2017-01-20 15:17:01
822244816520155136,37534,10852,2017-01-20 00:50:15
822163064745328640,0,5296,2017-01-19 19:25:24
821886076407029760,12170,2581,2017-01-19 01:04:45
821813639212650496,0,3681,2017-01-18 20:16:54
821765923262631936,9028,1837,2017-01-18 17:07:18
821522889702862852,8599,1947,2017-01-18 01:01:34
821421320206483457,0,6168,2017-01-17 18:17:58
821407182352777218,12615,4799,2017-01-17 17:21:47
821153421864615936,274,10,2017-01-17 00:33:26
821149554670182400,9354,2221,2017-01-17 00:18:04
821107785811234820,10284,2345,2017-01-16 21:32:06
821044531881721856,13580,2524,2017-01-16 17:20:45
820837357901512704,0,7374,2017-01-16 03:37:31
820749716845686786,33830,10945,2017-01-15 21:49:15
820690176645140481,13077,3555,2017-01-15 17:52:40
820494788566847489,0,626,2017-01-15 04:56:16
820446719150292993,0,2849,2017-01-15 01:45:15
820314633777061888,3577,626,2017-01-14 17:00:24
820078625395449857,21237,6928,2017-01-14 01:22:35
820013781606658049,0,1305,2017-01-13 21:04:55
819952236453363712,5708,1305,2017-01-13 17:00:21
819924195358416896,13803,5335,2017-01-13 15:08:56
819711362133872643,14440,3466,2017-01-13 01:03:12
819588359383371776,10264,2172,2017-01-12 16:54:26
819347104292290561,7747,1333,2017-01-12 00:55:47
819238181065359361,2457,448,2017-01-11 17:42:57
819227688460238848,24786,7374,2017-01-11 17:01:16
819015337530290176,0,40447,2017-01-11 02:57:27
819015331746349057,0,20863,2017-01-11 02:57:26
819006400881917954,48415,20863,2017-01-11 02:21:57
819004803107983360,92693,40447,2017-01-11 02:15:36
818646164899774465,0,23046,2017-01-10 02:30:30
818627210458333184,23837,8226,2017-01-10 01:15:10
818614493328580609,10594,2854,2017-01-10 00:24:38
818588835076603904,0,6794,2017-01-09 22:42:41
818536468981415936,11720,2741,2017-01-09 19:14:36
818307523543449600,0,8983,2017-01-09 04:04:51
818259473185828864,11842,2530,2017-01-09 00:53:55
818145370475810820,13205,2874,2017-01-08 17:20:31
817908911860748288,5200,869,2017-01-08 01:40:55
817827839487737858,55737,29990,2017-01-07 20:18:46
817777686764523521,11491,2948,2017-01-07 16:59:28
817536400337801217,12671,3352,2017-01-07 01:00:41
817502432452313088,0,3750,2017-01-06 22:45:43
817423860136083457,36787,16560,2017-01-06 17:33:29
817415592588222464,6045,1064,2017-01-06 17:00:38
817181837579653120,0,9407,2017-01-06 01:31:47
817171292965273600,9383,2223,2017-01-06 00:49:53
817120970343411712,13071,2898,2017-01-05 21:29:55
817056546584727552,9209,1826,2017-01-05 17:13:55
816829038950027264,0,5215,2017-01-05 02:09:53
816816676327063552,10738,2253,2017-01-05 01:20:46
816697700272001025,10539,2441,2017-01-04 17:27:59
816450570814898180,32889,8983,2017-01-04 01:05:59
816336735214911488,9245,2164,2017-01-03 17:33:39
816091915477250048,9599,2381,2017-01-03 01:20:49
816062466425819140,0,1157,2017-01-02 23:23:48
816014286006976512,0,5878,2017-01-02 20:12:21
815990720817401858,5380,1157,2017-01-02 18:38:42
815966073409433600,24148,9407,2017-01-02 17:00:46
815745968457060357,0,4578,2017-01-02 02:26:09
815736392542261248,10583,2509,2017-01-02 01:48:06
815639385530101762,8841,1820,2017-01-01 19:22:38
815390420867969024,11135,4211,2017-01-01 02:53:20
814986499976527872,8222,1433,2016-12-31 00:08:17
814638523311648768,12141,3003,2016-12-30 01:05:33
814578408554463233,0,6430,2016-12-29 21:06:41
814530161257443328,9325,2055,2016-12-29 17:54:58
814153002265309185,30965,9634,2016-12-28 16:56:16
813944609378369540,0,3554,2016-12-28 03:08:11
813910438903693312,9993,2088,2016-12-28 00:52:25
813812741911748608,39110,15515,2016-12-27 18:24:12
813800681631023104,8985,1953,2016-12-27 17:36:16
813217897535406080,20114,8080,2016-12-26 03:00:30
813202720496779264,9882,1993,2016-12-26 02:00:11
813187593374461952,21364,4834,2016-12-26 01:00:05
813172488309972993,10044,2119,2016-12-26 00:00:03
813157409116065792,8347,2459,2016-12-25 23:00:08
813142292504645637,9062,2613,2016-12-25 22:00:04
813130366689148928,4813,491,2016-12-25 21:12:41
813127251579564032,12784,3466,2016-12-25 21:00:18
813112105746448384,11139,3057,2016-12-25 20:00:07
813096984823349248,11338,3999,2016-12-25 19:00:02
813081950185472002,10637,3070,2016-12-25 18:00:17
813066809284972545,8580,2155,2016-12-25 17:00:08
813051746834595840,22577,8125,2016-12-25 16:00:16
812781120811126785,8172,2116,2016-12-24 22:04:54
812747805718642688,0,7693,2016-12-24 19:52:31
812709060537683968,7132,1589,2016-12-24 17:18:34
812503143955202048,6558,1358,2016-12-24 03:40:19
812466873996607488,8613,2132,2016-12-24 01:16:12
812372279581671427,14749,4069,2016-12-23 19:00:19
811985624773361665,7819,1554,2016-12-22 17:23:53
811744202451197953,8138,1788,2016-12-22 01:24:33
811647686436880384,6019,824,2016-12-21 19:01:02
811627233043480576,13798,3479,2016-12-21 17:39:46
811386762094317568,22519,7093,2016-12-21 01:44:13
810984652412424192,5747,1588,2016-12-19 23:06:23
810896069567610880,9756,1983,2016-12-19 17:14:23
810657578271330305,11819,2928,2016-12-19 01:26:42
810284430598270976,38254,12664,2016-12-18 00:43:57
810254108431155201,15827,3723,2016-12-17 22:43:27
809920764300447744,16704,4323,2016-12-17 00:38:52
809808892968534016,0,5441,2016-12-16 17:14:20
809448704142938112,7469,1633,2016-12-15 17:23:04
809220051211603969,21500,6244,2016-12-15 02:14:29
809084759137812480,14254,3888,2016-12-14 17:16:53
808838249661788160,10893,3374,2016-12-14 00:57:20
808733504066486276,8527,2405,2016-12-13 18:01:07
808501579447930884,12174,2889,2016-12-13 02:39:32
808344865868283904,45862,23046,2016-12-12 16:16:49
808134635716833280,0,6614,2016-12-12 02:21:26
808106460588765185,9403,2431,2016-12-12 00:29:28
808001312164028416,13570,3928,2016-12-11 17:31:39
807621403335917568,15723,4091,2016-12-10 16:22:02
807106840509214720,121584,60152,2016-12-09 06:17:20
807059379405148160,0,8148,2016-12-09 03:08:45
807010152071229440,14058,4238,2016-12-08 23:53:08
806629075125202948,81146,38748,2016-12-07 22:38:52
806620845233815552,0,6128,2016-12-07 22:06:10
806576416489959424,5229,2128,2016-12-07 19:09:37
806542213899489280,11020,2627,2016-12-07 16:53:43
806242860592926720,0,12999,2016-12-06 21:04:11
806219024703037440,6916,1332,2016-12-06 19:29:28
805958939288408065,0,5978,2016-12-06 02:15:59
805932879469572096,8921,2118,2016-12-06 00:32:26
805826884734976000,7112,2035,2016-12-05 17:31:15
805823200554876929,0,8949,2016-12-05 17:16:37
805520635690676224,6191,1833,2016-12-04 21:14:20
805487436403003392,9468,2816,2016-12-04 19:02:24
805207613751304193,8413,1895,2016-12-04 00:30:29
804738756058218496,14838,4277,2016-12-02 17:27:25
804475857670639616,6648,2229,2016-12-02 00:02:45
804413760345620481,0,3575,2016-12-01 19:56:00
804026241225523202,48204,18015,2016-11-30 18:16:08
803773340896923648,10847,3082,2016-11-30 01:31:12
803692223237865472,0,8255,2016-11-29 20:08:52
803638050916102144,11874,4604,2016-11-29 16:33:36
803380650405482500,8374,2063,2016-11-28 23:30:47
803321560782307329,0,5907,2016-11-28 19:35:59
803276597545603072,10830,2748,2016-11-28 16:37:19
802952499103731712,9751,2232,2016-11-27 19:09:28
802624713319034886,0,3254,2016-11-26 21:26:58
802600418706604034,7691,1634,2016-11-26 19:50:26
802572683846291456,9654,2783,2016-11-26 18:00:13
802323869084381190,17563,6499,2016-11-26 01:31:31
802265048156610565,6916,1513,2016-11-25 21:37:47
802239329049477120,9800,2895,2016-11-25 19:55:35
802185808107208704,0,297,2016-11-25 16:22:55
801958328846974976,8338,1902,2016-11-25 01:18:59
801854953262350336,1904,260,2016-11-24 18:28:13
801538201127157760,8859,2288,2016-11-23 21:29:33
801285448605831168,6550,924,2016-11-23 04:45:12
801167903437357056,26489,6614,2016-11-22 20:58:07
801127390143516673,0,4417,2016-11-22 18:17:08
801115127852503040,8735,2324,2016-11-22 17:28:25
800859414831898624,745,107,2016-11-22 00:32:18
800855607700029440,0,1810,2016-11-22 00:17:10
800751577355128832,11354,3088,2016-11-21 17:23:47
800513324630806528,14199,3344,2016-11-21 01:37:04
800459316964663297,10217,2398,2016-11-20 22:02:27
800443802682937345,0,4796,2016-11-20 21:00:48
800388270626521089,12039,3116,2016-11-20 17:20:08
800188575492947969,0,4386,2016-11-20 04:06:37
800141422401830912,16535,2849,2016-11-20 00:59:15
800018252395122689,30683,14650,2016-11-19 16:49:49
799774291445383169,0,5215,2016-11-19 00:40:24
799757965289017345,9085,2405,2016-11-18 23:35:32
799422933579902976,8691,2126,2016-11-18 01:24:14
799308762079035393,0,6160,2016-11-17 17:50:33
799297110730567681,10715,3086,2016-11-17 17:04:16
799063482566066176,8754,2734,2016-11-17 01:35:54
798933969379225600,14244,4985,2016-11-16 17:01:16
798925684722855936,8033,1598,2016-11-16 16:28:21
798705661114773508,0,7359,2016-11-16 01:54:03
798701998996647937,0,8683,2016-11-16 01:39:30
798697898615730177,0,7232,2016-11-16 01:23:12
798694562394996736,0,5517,2016-11-16 01:09:57
798686750113755136,0,2586,2016-11-16 00:38:54
798682547630837760,0,5254,2016-11-16 00:22:12
798673117451325440,0,6183,2016-11-15 23:44:44
798665375516884993,0,4322,2016-11-15 23:13:58
798644042770751489,0,2059,2016-11-15 21:49:12
798628517273620480,0,2184,2016-11-15 20:47:30
798585098161549313,0,6347,2016-11-15 17:54:59
798576900688019456,0,6531,2016-11-15 17:22:24
798340744599797760,0,3740,2016-11-15 01:44:00
798209839306514432,11225,2839,2016-11-14 17:03:50
797971864723324932,12603,3491,2016-11-14 01:18:12
797545162159308800,15675,5403,2016-11-12 21:02:38
797236660651966464,21641,7375,2016-11-12 00:36:46
797165961484890113,249,29,2016-11-11 19:55:50
796904159865868288,0,9904,2016-11-11 02:35:32
796865951799083009,8302,2116,2016-11-11 00:03:42
796759840936919040,12841,3403,2016-11-10 17:02:03
796563435802726400,0,8131,2016-11-10 04:01:37
796484825502875648,8199,1958,2016-11-09 22:49:15
796387464403357696,11904,4631,2016-11-09 16:22:22
796177847564038144,0,15915,2016-11-09 02:29:25
796149749086875649,34997,15915,2016-11-09 00:37:46
796125600683540480,5337,1983,2016-11-08 23:01:49
796116448414461957,9827,2695,2016-11-08 22:25:27
796080075804475393,9136,2577,2016-11-08 20:00:55
796031486298386433,11692,4103,2016-11-08 16:47:50
795464331001561088,53917,26487,2016-11-07 03:14:10
795400264262053889,10918,3187,2016-11-06 22:59:35
795076730285391872,17558,6031,2016-11-06 01:33:58
794983741416415232,0,3748,2016-11-05 19:24:28
794926597468000259,11115,2574,2016-11-05 15:37:24
794355576146903043,0,11450,2016-11-04 01:48:22
794332329137291264,10347,2936,2016-11-04 00:15:59
794205286408003585,9953,3678,2016-11-03 15:51:10
793962221541933056,18210,5441,2016-11-02 23:45:19
793845145112371200,9955,2092,2016-11-02 16:00:06
793614319594401792,0,3470,2016-11-02 00:42:53
793601777308463104,8630,1821,2016-11-01 23:53:02
793500921481273345,11579,2652,2016-11-01 17:12:16
793286476301799424,26637,10248,2016-11-01 03:00:09
793271401113350145,9348,2631,2016-11-01 02:00:14
793256262322548741,21622,9268,2016-11-01 01:00:05
793241302385262592,11385,3649,2016-11-01 00:00:38
793226087023144960,10648,3187,2016-10-31 23:00:11
793210959003287553,9657,3131,2016-10-31 22:00:04
793195938047070209,16521,6254,2016-10-31 21:00:23
793180763617361921,7489,2214,2016-10-31 20:00:05
793165685325201412,10164,3093,2016-10-31 19:00:10
793150605191548928,6677,1897,2016-10-31 18:00:14
793135492858580992,6999,2776,2016-10-31 17:00:11
793120401413079041,13720,4349,2016-10-31 16:00:13
792913359805018113,15523,4469,2016-10-31 02:17:31
792883833364439040,12237,4748,2016-10-31 00:20:11
792773781206999040,7946,1869,2016-10-30 17:02:53
792394556390137856,14579,4763,2016-10-29 15:55:58
792050063153438720,7769,1996,2016-10-28 17:07:05
791821351946420224,0,23356,2016-10-28 01:58:16
791784077045166082,0,10720,2016-10-27 23:30:09
791780927877898241,0,4221,2016-10-27 23:17:38
791774931465953280,48821,24659,2016-10-27 22:53:48
791672322847637504,12715,3470,2016-10-27 16:06:04
791406955684368384,14196,4578,2016-10-26 22:31:36
791312159183634433,9501,2822,2016-10-26 16:14:55
791026214425268224,0,4574,2016-10-25 21:18:40
